,Unnamed: 0,Unnamed: 0.1,review_rating,hotel_locality,hotel_name,hotel_rating,num_reviews_reviewer,review_body,review_date,review_title,review_url,reviewer_name,user_location
0,0,0,10,Bethlehem,Shepherd Hotel,4 of 5 bubbles,9,"The hotel offers a scam laundry service, the prices of the laundry services are not given to the guest or made available in the room, after the laundry is complete the guest will be presented with a hefty and ridiculously overpriced bill in USD.","January 5, 2018",Scam Laundry Service,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r551774454-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Traveler_10201020,"Vienna, Austria"
1,1,1,30,Bethlehem,Shepherd Hotel,4 of 5 bubbles,36,"The hotel is located in the commercial area of ​​the city.The hotel has elegant lobby, large rooms with comfortable bed with decent furniture, free wifi, TV cable with a lots of chanels.Breakfast and dinner buffet acceptable.Friendly staff.","November 23, 2017",Hotel for groups,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r542854295-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Costin T,"Drobeta-Turnu Severin, Romania"
2,2,2,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,9,We came here as a group of less than twenty. Very good hotel. The food is good enough. Rooms are well maintained and clean. No major issues during the stay.Also we can enjoy the major tourist spots as they are near to here.,"July 2, 2017",Good hotel for groups,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r498078948-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,JerinGeorge,"Thiruvananthapuram (Trivandrum), India"
3,3,3,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,6,Didn't stay but had an urgent administrative matter requiring translation and phone help and front desk staff did not hesitate to help me. Friendly hotel seems very clean and well-run. Certainly in a good central location.,"April 25, 2017",Very Helpful Staff,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r478865218-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,CAW007,Toronto
4,4,4,30,Bethlehem,Shepherd Hotel,4 of 5 bubbles,3,"The staff is very friendly, they want to ensure a good service. The hotel is far from center, no possibility to organize evening programs. Breakfasts and diners are are good. Despite the fact, that the equipment was not old, I had always a feeling, that there are missing the maintenance specialists.","December 14, 2016",Friendly staff in an average hotel,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r444371905-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,_a_szabados,"Debrecen, Hungary"
5,5,5,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,28,"This was a lovely hotel, with spacious clean rooms, clean bathrooms, good food and friendly atmosphere. I stayed here for 4 nights. On the first night I slept so soundly that I didn't even hear the mulla's cry which is pretty loud at 5 am, 5. 10 am and 6 am! I didn't hear it at all. On the next three mornings, I did hear the loud cry of the mulla. The hotel staff are very friendly and helpful with anything. I would like to go there again if I visit Bethlehem again. God bless them.","October 18, 2016",Home away from home,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r429208829-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Goldenhead,India
6,6,6,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,1,"What a great experience staying here! The room was spacious, clean and well equipped. The food was terrific. The staff was welcoming and friendly. I look forward to returning to this hotel in the future.","March 1, 2016",Terrific Stay,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r352116042-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,reverendscott2016,"Sun Prairie, Wisconsin"
7,7,7,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,41,"The hotel is located in the center of the city, near to the Nativity Church and other historical places. The bazars, shops, small restaurants with very chip prizes in the neighborhood. The rooms are big, around 30 m², clean, bathroom well equipped, all around comfortable.The Manager, Mrs. Samar and her daughter are very helpful, with perfect English.Big restaurant and tasty food.Employees are very friendly, helpful. Their English could be better.Price is very acceptable.","November 15, 2015",It was a positiv surprize !,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r326995239-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Tomi K,"Munich, Germany"
8,8,8,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,140,"Good place considering that it caters mostly to groups. Rooms are good, although not very well maintained. No coffee maker in the room. Switches and plugs a little shaky. The buffet meals were very good with a lot of variety - Palestinian and Mediterranean dishes. Very friendly staff. Value for money.","May 19, 2015",Group Tour Haven,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r273238706-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,CK R,"Singapore, Singapore"
9,9,9,30,Bethlehem,Shepherd Hotel,4 of 5 bubbles,19,"Don't expect luxury given the price point and location. If you want to visit areas in Bethlehem, the location is good. However, getting into and out of Jerusalem is a pain especially if it is early morning or late night. Only some cabs are willing to cross the border and they are likely to fleece you!","May 10, 2015",Decent hotel in the area especially given the price point,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r271232512-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,S M,"Dallas, Texas"
10,10,10,50,Bethlehem,Shepherd Hotel,4 of 5 bubbles,22,"i have been some time ago in this hotel with some friends and i just wanted to tell you what a great hotel is this one.Everybody who is working there is professional ,i apreciate everythig there the power of the people and the positivity.i will return to you as soon as i can.try this hotel you will not regret!has also free wireless and the connesion very good!","May 4, 2015",the best experience!!!,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r269860337-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,adryanna C,"Rimini, Italy"
11,11,11,20,Bethlehem,Shepherd Hotel,4 of 5 bubbles,280,"To those traveling to the West Bank, be advised that firstly, the culture will be shocking for those who have never been to the Middle East before. It's quite extreme in terms of outside surroundings, even for someone coming from Israel. The standards of this hotel however, do match up with some of the more run-down establishments in the west. Not that the hotel wasn't comfortable, because it was. There was a nice flat panel TV in the room, the bed was comfortable, the room clean, and overall, the staff was very friendly. There were a few problems and for this reason I personally wouldn't go back to to the hotel based on them. They are as follows: The first night of my stay I wanted to take a bath. When I turned the water on, I noticed there was no plug, so I went to phone reception. When I did so, the phone would not call down to the lobby. I had to go downstairs by elevator - which was another irritant to everyone in our group, because the elevator stopped on every single floor even when no one pushed the button. When I reached the ground floor, I told the receptionist the problem with their being no bathtub stopper. For a long time I didn't believe she understood me in English, because she said they didn't have them in the hotel - and that seemed absurd to me. She then finally called the manager, and he confirmed that they in fact do not have bathtub stoppers in the rooms because there is never enough hot water. That would have been a culture shock, only if I had thought for a moment that The Intercontinental down the street might have had the same problem. Which I highly doubt they did/ever do. Then came later that evening, when the phone started working and I called down to have them send up some extra pillows - plus the heater in the room wasn't working and it was freezing. They said someone would be up shortly. A half an hour later, I called down again and the same girl said they were on their way and would be up in five minutes. Another half hour passed, and I called down again only to be told by a man, that he didn't know about any pillows being sent up and in a rather curt tone said, ""We probably don't have any."" And then hung up. I fell asleep around midnight, and shortly thereafter there was a knock at the door - two hours after I'd originally called downstairs. A rather unpleasant man, who didn't even seem like he belonged on staff, had pillows in his hand and handed them to me. When I thanked him, I asked him to come in and look at the heater. He fiddled with the remote for about twenty seconds then threw it down on the bed and said, ""I don't know how it works. You have to ask someone else."" And then walked out the door. The other thing that is important to note about the hotel, is that you can hear ABSOLUTELY EVERYTHING that is going on outside your door. It's very loud and you feel as though you are in someone's home, rather than a hotel. There is absolutely no sound proof anything going on. My group was there for a conference, so there were over a hundred of us, kids in tow, and you could hear everything in the hallways. I really, really hated that. That's something to definitely factor in if you're considering staying at this hotel.At 5:15 in the morning we were serenaded (note the sarcasm) with Mosque music, and while I understand that's not the hotel's fault, they could have perhaps had better insulation in the windows. While there was no bath for two nights, the heater worked only the second night after one of my roommates managed to figure it out, and there was this run-in with delayed service and an indifferent attitude - I do have to admit that the rest of the staff was very friendly, pleasant and accommodating. I would say though that if given the choice of where to stay, this wouldn't be my first pick as it's not the nicest of places. There was a large buffet of food for dinner, and as far as I know for breakfast as well. Salads, Middle Eastern delicacies galore were all a part of the restaurant's menu both days we were there. I didn't have any of the food provided - but was told by my friends that it was delicious. The towels provided are small and rough. They are not soft at all - imagine shop towels, but less comfortable. They are almost grainy. There were three of us staying in a room (naturally two of the twin beds were pushed together - why, God only knows), and they gave us two tiny bars of soap. All in all I wouldn't deny that this is a comfortable enough establishment, but once again, just not my very first choice. P.S. There was also no toilet brush in the bathroom - just a good tip for you, depending on how you roll.","January 16, 2015",Don't expect luxury,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r249576580-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,Euroerican,Italy
12,12,12,40,Bethlehem,Shepherd Hotel,4 of 5 bubbles,63,Rooms are not that great but they are ok for the price paid. Buffet facility was great with a vareity of options available. The location was perfect. The view from the hotel was good. Courteous and helpful staff.,"November 23, 2013",Decent,https://www.tripadvisor.com.au/ShowUserReviews-g293978-d506758-r185648052-Shepherd_Hotel-Bethlehem_West_Bank.html#CHECK_RATES_CONT,JenMats,"Muscat, Oman"
