,hotel_name,hotel_locality,hotel_rating,review_date,review_rating,user_location
0,Shepherd Hotel,Bethlehem,4.0,2018,1.0, Austria
1,Shepherd Hotel,Bethlehem,4.0,2017,3.0, Romania
2,Shepherd Hotel,Bethlehem,4.0,2017,4.0, India
3,Shepherd Hotel,Bethlehem,4.0,2017,5.0,Toronto
4,Shepherd Hotel,Bethlehem,4.0,2016,3.0, Hungary
5,Shepherd Hotel,Bethlehem,4.0,2016,5.0,India
6,Shepherd Hotel,Bethlehem,4.0,2016,5.0, Wisconsin
7,Shepherd Hotel,Bethlehem,4.0,2015,5.0, Germany
8,Shepherd Hotel,Bethlehem,4.0,2015,4.0, Singapore
9,Shepherd Hotel,Bethlehem,4.0,2015,3.0, Texas
10,Shepherd Hotel,Bethlehem,4.0,2015,5.0, Italy
11,Shepherd Hotel,Bethlehem,4.0,2015,2.0,Italy
12,Shepherd Hotel,Bethlehem,4.0,2013,4.0, Oman
13,Shepherd Hotel,Bethlehem,4.0,2013,4.0, Oman
14,Shepherd Hotel,Bethlehem,4.0,2013,4.0, United Kingdom
15,Shepherd Hotel,Bethlehem,4.0,2012,3.0,Tarshiha
16,Shepherd Hotel,Bethlehem,4.0,2012,4.0, Illinois
17,Shepherd Hotel,Bethlehem,4.0,2012,4.0, United Kingdom
18,Shepherd Hotel,Bethlehem,4.0,2012,5.0,England
19,Shepherd Hotel,Bethlehem,4.0,2012,5.0, United Kingdom
20,Shepherd Hotel,Bethlehem,4.0,2011,5.0, United Kingdom
21,Shepherd Hotel,Bethlehem,4.0,2011,4.0, Singapore
22,Shepherd Hotel,Bethlehem,4.0,2010,4.0, North Carolina
23,Caritas Betharram Center,Bethlehem,4.0,2017,4.0, Austria
24,Caritas Betharram Center,Bethlehem,4.0,2016,5.0, New York
25,Caritas Betharram Center,Bethlehem,4.0,2016,5.0, Austria
26,Golden Park Resort,Bethlehem,4.0,2017,4.0, Finland
27,Golden Park Resort,Bethlehem,4.0,2016,3.0, California
28,Golden Park Resort,Bethlehem,4.0,2015,5.0, Denmark
29,Golden Park Resort,Bethlehem,4.0,2015,4.0, United Kingdom
30,Golden Park Resort,Bethlehem,4.0,2014,4.0, Philippines
