Text,Polarity,Agreement,Subjectivity,Confidence,Irony
"The hotel offers a scam laundry service, the prices of the laundry services are not given to the guest or made available in the room, after the laundry is complete the guest will be presented with a hefty and ridiculously overpriced bill in USD.",N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC
"The hotel is located in the commercial area of ​​the city.The hotel has elegant lobby, large rooms with comfortable bed with decent furniture, free wifi, TV cable with a lots of chanels.Breakfast and dinner buffet acceptable.Friendly staff.",P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
We came here as a group of less than twenty. Very good hotel. The food is good enough. Rooms are well maintained and clean. No major issues during the stay.Also we can enjoy the major tourist spots as they are near to here.,P,AGREEMENT,SUBJECTIVE,98,NONIRONIC
Didn't stay but had an urgent administrative matter requiring translation and phone help and front desk staff did not hesitate to help me. Friendly hotel seems very clean and well-run. Certainly in a good central location.,P,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC
"The staff is very friendly, they want to ensure a good service. The hotel is far from center, no possibility to organize evening programs. Breakfasts and diners are are good. Despite the fact, that the equipment was not old, I had always a feeling, that there are missing the maintenance specialists.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"This was a lovely hotel, with spacious clean rooms, clean bathrooms, good food and friendly atmosphere. I stayed here for 4 nights. On the first night I slept so soundly that I didn't even hear the mulla's cry which is pretty loud at 5 am, 5. 10 am and 6 am! I didn't hear it at all. On the next three mornings, I did hear the loud cry of the mulla. The hotel staff are very friendly and helpful with anything. I would like to go there again if I visit Bethlehem again. God bless them.",P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC
"What a great experience staying here! The room was spacious, clean and well equipped. The food was terrific. The staff was welcoming and friendly. I look forward to returning to this hotel in the future.",P,AGREEMENT,SUBJECTIVE,100,NONIRONIC
"The hotel is located in the center of the city, near to the Nativity Church and other historical places. The bazars, shops, small restaurants with very chip prizes in the neighborhood. The rooms are big, around 30 m², clean, bathroom well equipped, all around comfortable.The Manager, Mrs. Samar and her daughter are very helpful, with perfect English.Big restaurant and tasty food.Employees are very friendly, helpful. Their English could be better.Price is very acceptable.",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
"Good place considering that it caters mostly to groups. Rooms are good, although not very well maintained. No coffee maker in the room. Switches and plugs a little shaky. The buffet meals were very good with a lot of variety - Palestinian and Mediterranean dishes. Very friendly staff. Value for money.",P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"Don't expect luxury given the price point and location. If you want to visit areas in Bethlehem, the location is good. However, getting into and out of Jerusalem is a pain especially if it is early morning or late night. Only some cabs are willing to cross the border and they are likely to fleece you!",N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC
"i have been some time ago in this hotel with some friends and i just wanted to tell you what a great hotel is this one.Everybody who is working there is professional ,i apreciate everythig there the power of the people and the positivity.i will return to you as soon as i can.try this hotel you will not regret!has also free wireless and the connesion very good!",P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC
