,Form,Topic Category,Rank,Type,Polarity
0,guest,concept,1,Top>Person,N
2,dollar,concept,3,Top>Unit>Currency,N
3,bill,concept,4,Top,N
8,guest,concept,9,Top>Person,N
35,telephone,concept,4,Top>Id>PhoneNumber,N
97,room,concept,8,Top>Location>Facility,N
99,room,concept,10,Top>Location>Facility,N
100,Jerusalem,entity,1,Top>Location>GeoPoliticalEntity>City,N
103,pain,concept,2,Top>OtherEntity>Disease,N
109,plug,concept,8,Top>Product,N
120,The Intercontinental,entity,3,Top,N
125,elevator,concept,3,Top>Location>Facility,N
126,hotel,concept,4,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
131,man,concept,9,Top>Person,N
132,fault,concept,10,Top,N
134,group,concept,12,Top>Organization,N
138,toilet,concept,16,Top>Location>Facility,N
139,brush,concept,17,Top>Product>Machine>Instrument,N
143,shock,concept,21,Top>OtherEntity>Disease,N
149,brush,concept,27,Top>Product>Machine>Instrument,N
154,culture,concept,32,Top,N
161,brush,concept,39,Top>Product,N
165,bathroom,concept,43,Top>Location>Facility,N
170,service,concept,48,Top>Product>ProfessionalService,N
178,fight,concept,56,Top>Event,N
186,doorman,concept,64,Top>OtherEntity>Vocation,N
219,fault,concept,4,Top,N
374,old-fashioned,concept,5,Top>Person,N
382,bathroom,concept,13,Top>Location>Facility,N
459,filling,concept,3,Top,N
461,breakfast,concept,5,Top>Event,N
462,breakfast,concept,6,Top>Product>Food,N
466,average,concept,10,Top,N
496,shower,concept,2,Top>Event>NaturalPhenomena,N
497,cold,concept,3,Top>OtherEntity>Disease,N
505,cold,concept,11,Top>Event>NaturalPhenomena,N
536,restaurant,concept,8,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
581,mistake,concept,12,Top>OtherEntity,N
582,quality of the product,concept,13,Top,N
616,Palestine,entity,1,Top>Location>GeoPoliticalEntity>Country,N
617,Educational Opportunities,entity,2,Top,N
642,mattress,concept,24,Top>Product,N
643,arrangement,concept,25,Top>OtherEntity,N
695,lighting,concept,5,Top,N
733,The Foods,entity,1,Top,N
734,The Grand Park Hotel,entity,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
736,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
738,group,concept,4,Top>Organization,N
839,complaint,concept,4,Top>OtherEntity>Disease,N
847,complaint,concept,12,Top,N
860,The staff,entity,6,Top>Organization,N
861,West,entity,7,Top>Person>LastName,N
903,tourist,concept,19,Top>Person,N
962,$,concept,8,Top>Unit>Currency,N
981,room,concept,13,Top>Location>Facility,N
983,room,concept,15,Top>Location>Facility,N
990,doomed,concept,6,Top,N
1018,Paradise Hotel,entity,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
1035,tourist,concept,16,Top>Person,N
1089,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
1095,breakfast,concept,8,Top>Event,N
1096,breakfast,concept,9,Top>Product>Food,N
1098,dinner,concept,11,Top>Product>Food,N
1100,dinner,concept,13,Top>Event,N
1112,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
1121,depressing,concept,3,Top,N
1122,food,concept,4,Top>Product>Food,N
1128,kind,concept,2,Top>OtherEntity>Class,N
1161,store,concept,13,Top>Location>Facility>Market,N
1162,souvenir,concept,14,Top,N
1221,Palestinian,concept,22,Top>Person,N
1242,Palestinian,concept,7,Top,N
1252,territory,concept,17,Top>Location,N
1257,AC,entity,4,Top,N
1262,bed,concept,5,Top>Location>GeographicalEntity>WaterForm>Channel,N
1266,salad,concept,9,Top>Product>Food>CookedPlate,N
1272,soup,concept,15,Top>Product>Food>CookedPlate,N
1286,mattress,concept,29,Top>Product,N
1306,selection,concept,1,Top>Organization,N
1307,people,concept,2,Top>Person,N
1308,lunch,concept,3,Top>Product>Food,N
1309,welcome,concept,4,Top>OtherEntity,N
1310,buffet,concept,5,Top,N
1311,food,concept,6,Top>Product>Food,N
1313,reception,concept,8,Top,N
1315,area,concept,10,Top>Location,N
1327,Wi-Fi,concept,10,Top>OtherEntity>MethodSystem,N
1364,Church of Nativity,entity,4,Top>Location>Facility,N
1371,hotel,concept,6,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
1378,center,concept,13,Top,N
1385,foot,concept,20,Top>LivingThing>BodyPart,N
1388,restaurant,concept,23,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,N
1391,buffet,concept,26,Top,N
1395,center,concept,30,Top>Location,N
1396,road,concept,31,Top>Location>Facility>Line,N
1400,city,concept,35,Top>Location>GeoPoliticalEntity>City,N
1404,foot,concept,39,Top>Unit>PhysicalExtentUnit,N
1408,center,concept,43,Top>Location>Facility,N
1410,road,concept,45,Top>Location>Facility>Line,N
1415,Wi-Fi,concept,50,Top>OtherEntity>MethodSystem,N
1420,ground floor,concept,55,Top>Location>Facility,N
1465,food,concept,14,Top>Product>Food,N
1481,brake,concept,4,Top>Product>Machine>Instrument,N
1485,shock,concept,8,Top>OtherEntity>Disease,N
1497,stairs,concept,20,Top>Product,N
1549,salad,concept,6,Top>Product>Food>CookedPlate,N
1551,cold,concept,8,Top>OtherEntity>Disease,N
1558,cold,concept,15,Top>Event>NaturalPhenomena,N
1568,compass,concept,4,Top>Product,N
1570,buffet,concept,6,Top,N
1573,traveler,concept,9,Top>Person,N
1582,noise,concept,18,Top,N
1583,tavern,concept,19,Top>Location>Facility,N
1728,place,concept,6,Top>Location,N
1733,person,concept,11,Top>Person,N
1739,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
1751,coach,concept,2,Top>OtherEntity>Vocation,N
1756,friend,concept,7,Top>Person,N
1760,administrator,concept,11,Top>OtherEntity>Vocation,N
1761,bass,concept,12,Top>Product>Food>Fishfood,N
1764,bass,concept,15,Top>Product>Machine>Instrument,N
1767,wedding,concept,18,Top>Event>Occasion,N
1768,manager,concept,19,Top>OtherEntity>Title,N
1769,executive,concept,20,Top>OtherEntity>Title,N
1770,volume,concept,21,Top>Unit>VolumeUnit,N
1772,bass,concept,23,Top>Product,N
