,Form,Topic Category,Rank,Type,Polarity
1,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
4,service,concept,5,Top>Product>ProfessionalService,N+
5,laundry,concept,6,Top>Location>Facility,N+
199,room,concept,6,Top>Location>Facility,N+
200,room,concept,7,Top>Location>Facility,N+
482,breakfast,concept,11,Top>Event,N+
485,breakfast,concept,14,Top>Product>Food,N+
517,staff,concept,10,Top>Organization,N+
518,plug,concept,11,Top>Product,N+
575,breakfast,concept,6,Top>Event,N+
577,breakfast,concept,8,Top>Product>Food,N+
673,iPad,entity,1,Top>Product>Machine>ElectronicAppliance>ElectronicDevice,N+
674,iPhone,entity,2,Top>Product>Machine>ElectronicAppliance>MobilePhone,N+
678,tablet,concept,4,Top>Product>Machine>ElectronicAppliance>ElectronicDevice,N+
681,tablet,concept,7,Top>Product,N+
682,electrical outlet,concept,8,Top>Product,N+
683,computer,concept,9,Top>Product>Machine>ElectronicAppliance>Computer,N+
684,place,concept,10,Top>Location,N+
685,lighting,concept,11,Top,N+
687,pill,concept,13,Top>Product>Substance>Drug,N+
800,group,concept,6,Top>Organization,N+
804,food,concept,10,Top>Product>Food,N+
1113,environment,concept,2,Top,N+
1115,environment,concept,4,Top,N+
1124,area,concept,6,Top>Location,N+
1283,room,concept,26,Top>Location>Facility,N+
1294,room,concept,37,Top>Location>Facility,N+
1615,hotel,concept,4,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
1692,coffee,concept,10,Top>Product>Food>Beverage,N+
1710,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
1712,trip,concept,3,Top,N+
1783,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
1784,advertisement,concept,3,Top>Product>CulturalProduct>Broadcast,N+
1795,spot,concept,14,Top>Product>CulturalProduct>Broadcast,N+
1798,bathroom,concept,17,Top>Location>Facility,N+
1801,Italian,concept,20,Top,N+
1805,tourist,concept,24,Top>Person,N+
1806,Spanish,concept,25,Top,N+
1807,green,concept,26,Top>OtherEntity>Color,N+
2332,drawback,concept,10,Top,N+
2416,breakfast,concept,34,Top>Event,N+
2417,dollar,concept,35,Top>Unit>Currency,N+
2421,breakfast,concept,39,Top>Product>Food,N+
2425,dinner,concept,43,Top>Product>Food,N+
2427,living room,concept,45,Top>Location>Facility,N+
2428,area,concept,46,Top>Location,N+
2435,hall,concept,53,Top>Location>Facility,N+
2440,dinner,concept,58,Top>Event,N+
2441,hostel,concept,59,Top>Location>Facility,N+
3031,electricity,concept,3,Top,N+
3274,breakfast,concept,9,Top>Event,N+
3276,breakfast,concept,11,Top>Product>Food,N+
3311,West Bank,entity,1,Top>Organization>Company>FinancialCompany>BankingCompany>BankingServices>Bank,N+
3316,location,concept,5,Top>Location>Address,N+
3320,location,concept,9,Top>Location,N+
3371,Belen,entity,2,Top>Location>GeoPoliticalEntity>City,N+
3570,room,concept,7,Top>Location>Facility,N+
3573,room,concept,10,Top>Location>Facility,N+
3634,shower,concept,4,Top>Event>NaturalPhenomena,N+
3636,cabin,concept,6,Top>Location>Facility,N+
3641,room,concept,11,Top>Location>Facility,N+
3643,room,concept,13,Top>Location>Facility,N+
3715,lunch,concept,1,Top>Product>Food,N+
3720,dinner,concept,6,Top>Product>Food,N+
3722,room,concept,8,Top>Location>Facility,N+
3723,dinner,concept,9,Top>Event,N+
3724,room,concept,10,Top>Location>Facility,N+
3802,street,concept,6,Top>Location>Facility>Line,N+
3810,location,concept,14,Top>Location>Address,N+
3818,location,concept,22,Top>Location,N+
3820,road,concept,24,Top>Location>Facility>Line,N+
3837,road,concept,41,Top>Location>Facility>Line,N+
3981,food,concept,1,Top>Product>Food,N+
3985,room,concept,5,Top>Location>Facility,N+
3986,room,concept,6,Top>Location>Facility,N+
4254,shower,concept,6,Top>Event>NaturalPhenomena,N+
4257,breakfast,concept,9,Top>Event,N+
4259,breakfast,concept,11,Top>Product>Food,N+
4281,robbery,concept,14,Top>OtherEntity>Offence,N+
4399,village,concept,2,Top>Location>GeoPoliticalEntity>City,N+
4401,street,concept,4,Top>Location>Facility>Line,N+
4402,town,concept,5,Top>Location>GeoPoliticalEntity>City,N+
4410,town,concept,13,Top>Location>GeoPoliticalEntity,N+
4428,city,concept,31,Top>Location>GeoPoliticalEntity>City,N+
4432,garbage,concept,35,Top,N+
4442,room,concept,45,Top>Location>Facility,N+
4452,room,concept,55,Top>Location>Facility,N+
4467,elevation,concept,12,Top,N+
4550,Jerusalem Hotels,entity,2,Top,N+
4599,room,concept,8,Top>Location>Facility,N+
4601,room,concept,10,Top>Location>Facility,N+
4660,channel,concept,3,Top>Location>GeographicalEntity>WaterForm>Channel,N+
4672,channel,concept,15,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>MediaCompany,N+
4738,laundry,concept,5,Top>Location>Facility,N+
4744,pain,concept,3,Top>OtherEntity>Disease,N+
4946,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
