,Form,Topic Category,Rank,Type,Polarity
6,room,concept,7,Top>Location>Facility,P
7,room,concept,8,Top>Location>Facility,P
9,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
10,bed,concept,2,Top>Location>GeographicalEntity>WaterForm>Channel,P
12,buffet,concept,4,Top,P
16,staff,concept,8,Top>Organization,P
17,friendly,concept,9,Top,P
18,dinner,concept,10,Top>Product>Food,P
20,hall,concept,12,Top>Location>Facility,P
21,Wi-Fi,concept,13,Top>OtherEntity>MethodSystem,P
22,dinner,concept,14,Top>Event,P
25,advertisement,concept,2,Top>Product>CulturalProduct>Broadcast,P
27,spot,concept,4,Top>Product>CulturalProduct>Broadcast,P
28,food,concept,5,Top>Product>Food,P
29,room,concept,6,Top>Location>Facility,P
30,tourist,concept,7,Top>Person,P
31,room,concept,8,Top>Location>Facility,P
33,location,concept,2,Top>Location>Address,P
34,location,concept,3,Top>Location,P
36,staff,concept,5,Top>Organization,P
42,breakfast,concept,4,Top>Event,P
43,breakfast,concept,5,Top>Product>Food,P
48,service,concept,10,Top>Product>ProfessionalService,P
51,God,concept,1,Top>OtherEntity>God,P
52,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
53,atmosphere,concept,3,Top>Location,P
54,atmosphere,concept,4,Top>Unit>WeightUnit,P
55,food,concept,5,Top>Product>Food,P
56,friendly,concept,6,Top,P
59,bathroom,concept,9,Top>Location>Facility,P
60,room,concept,10,Top>Location>Facility,P
61,room,concept,11,Top>Location>Facility,P
64,friendly,concept,3,Top,P
73,prize,concept,3,Top>OtherEntity>Award,P
81,bathroom,concept,11,Top>Location>Facility,P
86,room,concept,16,Top>Location>Facility,P
88,neighborhood,concept,18,Top>Location>GeoPoliticalEntity,P
89,room,concept,19,Top>Location>Facility,P
90,group,concept,1,Top>Organization,P
92,place,concept,3,Top>Location,P
115,hotel,concept,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
116,friend,concept,4,Top>Person,P
117,wireless,concept,5,Top,P
129,bed,concept,7,Top>Location>GeographicalEntity>WaterForm>Channel,P
135,friend,concept,13,Top>Person,P
147,flat,concept,25,Top,P
168,window,concept,46,Top>Product,P
177,room,concept,55,Top>Location>Facility,P
189,ground floor,concept,67,Top>Location>Facility,P
191,room,concept,69,Top>Location>Facility,P
192,flat,concept,70,Top>Location>Facility,P
198,staff,concept,5,Top>Organization,P
201,Bethlehem,entity,1,Top>Location>GeoPoliticalEntity,P
202,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
209,wind,concept,8,Top>Event>NaturalPhenomena,P
223,food,concept,8,Top>Product>Food,P
227,staff,concept,12,Top>Organization,P
228,friendly,concept,13,Top,P
229,standard,concept,14,Top>Product,P
230,service,concept,15,Top>Product>ProfessionalService,P
236,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
237,center,concept,3,Top,P
241,parking,concept,7,Top>Location>Facility>StationTop,P
242,center,concept,8,Top>Location,P
245,child,concept,11,Top>Person,P
247,window,concept,13,Top>Product,P
248,center,concept,14,Top>Location>Facility,P
251,entertainment,concept,17,Top,P
254,guest,concept,1,Top>Person,P
256,staff,concept,3,Top>Organization,P
257,friendly,concept,4,Top,P
260,guest,concept,7,Top>Person,P
265,village,concept,2,Top>Location>GeoPoliticalEntity>City,P
267,town,concept,4,Top>Location>GeoPoliticalEntity>City,P
269,town,concept,6,Top>Location>GeoPoliticalEntity,P
270,restaurant,concept,7,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P
271,food,concept,8,Top>Product>Food,P
272,city,concept,9,Top>Location>GeoPoliticalEntity>City,P
