,Form,Topic Category,Rank,Type,Polarity
0,guest,concept,1,Top>Person,N
1,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N+
2,dollar,concept,3,Top>Unit>Currency,N
3,bill,concept,4,Top,N
4,service,concept,5,Top>Product>ProfessionalService,N+
5,laundry,concept,6,Top>Location>Facility,N+
6,room,concept,7,Top>Location>Facility,P
7,room,concept,8,Top>Location>Facility,P
8,guest,concept,9,Top>Person,N
9,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
10,bed,concept,2,Top>Location>GeographicalEntity>WaterForm>Channel,P
12,buffet,concept,4,Top,P
16,staff,concept,8,Top>Organization,P
17,friendly,concept,9,Top,P
18,dinner,concept,10,Top>Product>Food,P
19,room,concept,11,Top>Location>Facility,P+
20,hall,concept,12,Top>Location>Facility,P
21,Wi-Fi,concept,13,Top>OtherEntity>MethodSystem,P
22,dinner,concept,14,Top>Event,P
23,room,concept,15,Top>Location>Facility,P+
24,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
25,advertisement,concept,2,Top>Product>CulturalProduct>Broadcast,P
27,spot,concept,4,Top>Product>CulturalProduct>Broadcast,P
28,food,concept,5,Top>Product>Food,P
29,room,concept,6,Top>Location>Facility,P
30,tourist,concept,7,Top>Person,P
31,room,concept,8,Top>Location>Facility,P
32,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
33,location,concept,2,Top>Location>Address,P
34,location,concept,3,Top>Location,P
35,telephone,concept,4,Top>Id>PhoneNumber,N
36,staff,concept,5,Top>Organization,P
37,friendly,concept,6,Top,P+
42,breakfast,concept,4,Top>Event,P
43,breakfast,concept,5,Top>Product>Food,P
45,staff,concept,7,Top>Organization,P+
46,friendly,concept,8,Top,P+
48,service,concept,10,Top>Product>ProfessionalService,P
51,God,concept,1,Top>OtherEntity>God,P
52,hotel,concept,2,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
53,atmosphere,concept,3,Top>Location,P
54,atmosphere,concept,4,Top>Unit>WeightUnit,P
55,food,concept,5,Top>Product>Food,P
56,friendly,concept,6,Top,P
57,staff,concept,7,Top>Organization,P+
58,friendly,concept,8,Top,P+
59,bathroom,concept,9,Top>Location>Facility,P
60,room,concept,10,Top>Location>Facility,P
61,room,concept,11,Top>Location>Facility,P
63,food,concept,2,Top>Product>Food,P+
64,friendly,concept,3,Top,P
68,Samar,entity,1,Top>Person>FirstName,P+
70,Samar,entity,3,Top>Person>FirstName,P+
71,coach,concept,1,Top>OtherEntity>Vocation,P+
73,prize,concept,3,Top>OtherEntity>Award,P
75,restaurant,concept,5,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Restaurants,P+
76,administrator,concept,6,Top>OtherEntity>Vocation,P+
78,food,concept,8,Top>Product>Food,P+
80,friendly,concept,10,Top,P+
81,bathroom,concept,11,Top>Location>Facility,P
84,manager,concept,14,Top>OtherEntity>Title,P+
85,executive,concept,15,Top>OtherEntity>Title,P+
86,room,concept,16,Top>Location>Facility,P
87,employee,concept,17,Top>Person,P+
88,neighborhood,concept,18,Top>Location>GeoPoliticalEntity,P
89,room,concept,19,Top>Location>Facility,P
90,group,concept,1,Top>Organization,P
91,buffet,concept,2,Top,P+
92,place,concept,3,Top>Location,P
94,staff,concept,5,Top>Organization,P+
95,friendly,concept,6,Top,P+
96,meal,concept,7,Top>Product>Food,P+
97,room,concept,8,Top>Location>Facility,N
98,Palestinian,concept,9,Top>Person,P+
99,room,concept,10,Top>Location>Facility,N
100,Jerusalem,entity,1,Top>Location>GeoPoliticalEntity>City,N
103,pain,concept,2,Top>OtherEntity>Disease,N
104,location,concept,3,Top>Location>Address,NEU
106,location,concept,5,Top>Location,NEU
109,plug,concept,8,Top>Product,N
113,professional,concept,1,Top,P+
115,hotel,concept,3,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P
116,friend,concept,4,Top>Person,P
117,wireless,concept,5,Top,P
120,The Intercontinental,entity,3,Top,N
125,elevator,concept,3,Top>Location>Facility,N
126,hotel,concept,4,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,N
129,bed,concept,7,Top>Location>GeographicalEntity>WaterForm>Channel,P
131,man,concept,9,Top>Person,N
132,fault,concept,10,Top,N
134,group,concept,12,Top>Organization,N
135,friend,concept,13,Top>Person,P
138,toilet,concept,16,Top>Location>Facility,N
139,brush,concept,17,Top>Product>Machine>Instrument,N
143,shock,concept,21,Top>OtherEntity>Disease,N
147,flat,concept,25,Top,P
149,brush,concept,27,Top>Product>Machine>Instrument,N
154,culture,concept,32,Top,N
161,brush,concept,39,Top>Product,N
163,staff,concept,41,Top>Organization,P+
164,friendly,concept,42,Top,P+
165,bathroom,concept,43,Top>Location>Facility,N
168,window,concept,46,Top>Product,P
170,service,concept,48,Top>Product>ProfessionalService,N
177,room,concept,55,Top>Location>Facility,P
